fid,omistaja,yllapitaja,tyyppi,lisatieto,kunta,reitti,kohde,sijainti,palvelut,linkki,rotate,source_id,lipas_id,lipas_tyyppikoodi,lipas_tyyppi_nimi_fi,lipas_nimi_fi,n,distance,feature_x,feature_y,nearest_x,nearest_y
261,Muu,,Nahtavyys,,Sauvo,,Sauvon Kädet ry kesänäyttely,,,,,191,99546,3220,Uimaranta,Rantolan uimaranta,1,81.053931019023,255785.880646019,6690785.7830703,255866.75,6690791.25
262,Kunta,,Nahtavyys,Rautakautinen asuinpaikka ja kuppikallio. Eväspöytä ja penkit,Sauvo,,Timperin kuppikallio,,,,,192,,,,,,,,,,
263,Muu,,Nahtavyys,Ei opastaulua,Sauvo,,Rautakautinen asuinpaikka,,,,,193,,,,,,,,,,
264,Muu,,Nahtavyys,,Sauvo,,Sauvon kirkko,,,,,194,606982,1120,Lähiliikuntapaikka,Palvelukeskuksen lähiliikuntapaikka,1,153.052155991722,262697.314850256,6697309.37369247,262651,6697455.25
265,Kunta,,Nahtavyys,,Sauvo,,Sauvon tori,,,,,195,606982,1120,Lähiliikuntapaikka,Palvelukeskuksen lähiliikuntapaikka,1,185.358639714133,262469.471139689,6697417.7653606,262651,6697455.25
266,Kunta,,Nahtavyys,,Sauvo,,Sauvon kirjasto,,,,,196,611954,1130,Ulkokuntoilupaikka,Koulukeskuksen ulkokuntoilusali,1,125.161027662125,262529.19716091,6697523.94495388,262465.603,6697631.746
267,Kunta,,Nahtavyys,,Sauvo,,Sauvon kirjasto,,,,,196,606983,1120,Lähiliikuntapaikka,Koulukeskuksen lähiliikuntapaikka,2,127.633963899147,262529.19716091,6697523.94495388,262450.75,6697624.625
268,Kunta,,Nahtavyys,,Sauvo,,Sauvon kirjasto,,,,,196,606982,1120,Lähiliikuntapaikka,Palvelukeskuksen lähiliikuntapaikka,3,139.838936993887,262529.19716091,6697523.94495388,262651,6697455.25
269,Muu,,Nahtavyys,,Sauvo,,1930 -luvun funkkistalo,,,,,197,606982,1120,Lähiliikuntapaikka,Palvelukeskuksen lähiliikuntapaikka,1,157.3310107175,262493.803963146,6697448.73440865,262651,6697455.25
270,Muu,,Nahtavyys,,Sauvo,,1930 -luvun funkkistalo,,,,,197,606983,1120,Lähiliikuntapaikka,Koulukeskuksen lähiliikuntapaikka,2,181.083251209098,262493.803963146,6697448.73440865,262450.75,6697624.625
271,Muu,,Nahtavyys,,Sauvo,,1930 -luvun funkkistalo,,,,,197,611954,1130,Ulkokuntoilupaikka,Koulukeskuksen ulkokuntoilusali,3,185.17164170407,262493.803963146,6697448.73440865,262465.603,6697631.746
272,Kunta,Kunta / muu,Nahtavyys,Muinaisjäännösalue,Kaarina,,Huttalan linnavuori,,,,,198,,,,,,,,,,
273,Kunta,Kunta / muu,Nahtavyys,Muinaisjäännösalue,Kaarina,,Pronssikautinen hautaröykkiö,,,,,199,,,,,,,,,,
274,Muu,Muu,Nahtavyys,muinaisjäännösalue,Kaarina,,Pohtionvuoren pronssikautinen hautaröykkiö,,,,,200,,,,,,,,,,
275,Muu,Muu,Luonnonnahtavyys,,Kaarina,,Muinaisranta,,,,,201,,,,,,,,,,
276,Valtio,Muu,Nahtavyys,"Ylläpitäjä Metsähallitus, https://www.luontoon.fi/kuusisto",Kaarina,,Kuusiston piispanlinnan rauniot,,,https://tammireitit.fi/kuusistonlinnanrauniot,,202,,,,,,,,,,
277,Muu,,Nakoala,,Sauvo,,Hiirmetsän näköalapaikka,,,,,203,,,,,,,,,,
278,Muu,,Nakoala,,Sauvo,,Haarakallion näköalapaikka,,,,,204,,,,,,,,,,
279,Muu,,Nahtavyys,,Sauvo,,Rantakallion muinaisranta,,,,,205,,,,,,,,,,
280,Muu,,Nakoala,,Sauvo,,Näköala Maalunlahdelle,,,,,206,,,,,,,,,,
281,Muu,,Nahtavyys,,Sauvo,,Haaviston myllypato,,,,,207,,,,,,,,,,
282,Muu,,Nahtavyys,,Sauvo,,Rautakautinen hautaröykkiö,,,,,208,,,,,,,,,,
283,Kunta,,Nakoala,,Paimio,,Näköala Vähäjokilaaksoon,,,,,209,,,,,,,,,,
284,Muu,,Nahtavyys,,Kaarina,,Vaarniemen rälssitila,,,,,210,,,,,,,,,,
285,,,Nahtavyys,,Kaarina,,Pronssikautinen hautaröykkiö,,,,,211,,,,,,,,,,
286,Muu,,Nahtavyys,,Kaarina,,Ala-Lemun kartano,,,,,212,,,,,,,,,,
287,Kunta,Kunta / muu,Nahtavyys,,Kaarina,,Lemun taistelun muistomerkki,,,,,213,,,,,,,,,,
288,Muu,,Nahtavyys,Huom! yksityisomistuksessa,Kaarina,,Yli-Lemun kartano,,,,,214,,,,,,,,,,
289,Kunta,Kunta / muu,Opastaulu,Tammireittien infotaulu,Kaarina,,Rauvolantie,,,,,215,,,,,,,,,,
290,Kunta,,Luontotorni,,Kaarina,,Vaarniemen näkötorni,,,,,216,606722,204,Luontotorni,Vaarniemen näkötorni,1,0.878038294046224,240510.705053089,6705169.89624097,240510.5,6705170.75
291,Kunta,Kunta / muu,Opastaulu,Tammireittien infotaulu,Kaarina,,Kasarminmäki,,,,,217,,,,,,,,,,
292,Kunta,Kunta / muu,Opastaulu,Tammireittien infotaulu,Kaarina,,Nunnan luontopolku,,,,,218,529979,1180,Frisbeegolfrata,Nunnan frisbeegolfrata,1,18.2504144322326,249001.26076663,6709959.11668055,249003.1898,6709940.9685
293,Kunta,Kunta / muu,Opastaulu,Tammireittien infotaulu,Kaarina,,Pontelan yhdysreitti,,,,,219,618075,1130,Ulkokuntoilupaikka,Pontelan ulkokuntosali,1,70.0452638297398,253720.48666894,6706740.69595704,253782.8306,6706708.7652
294,Kunta,Kunta / muu,Opastaulu,Tammireittien infotaulu,Kaarina,,Pontelan yhdysreitti,,,,,219,518009,2120,Kuntosali,Pontelan punttisali,2,106.144147737813,253720.48666894,6706740.69595704,253666.2968,6706831.965
295,Kunta,Kunta / muu,Opastaulu,Tammireittien infotaulu,Kaarina,,,,,,,220,,,,,,,,,,
296,Kunta,,Opastaulu,,Kaarina,,Vähäsillan paja,,,,,221,,,,,,,,,,
297,Kunta,,Opastaulu,,Kaarina,,Tiilitehdas,,,,,222,,,,,,,,,,
298,Kunta,,Opastaulu,,Kaarina,,Kohiseva ja Vähäjoen luontoa,,,,,223,,,,,,,,,,
299,Muu,,Opastaulu,,Paimio,,Oinilan jokipolku,,,,,224,,,,,,,,,,
300,Kunta,Kunta / muu,Opastaulu,Tammireittien infotaulu,Kaarina,,"Kuusiston koulupolku, Empon koulu",,,,,225,517979,2150,Liikuntasali,Empolan sali,1,69.829407787983,245900.992813947,6703782.44181615,245847.3987,6703737.6778
301,Kunta,Kunta / muu,Opastaulu,Tammireittien infotaulu,Kaarina,,"Kuusiston koulupolku, Empon koulu",,,,,225,503837,1520,Luistelukenttä,Empon luistelukenttä,2,71.7881669742279,245900.992813947,6703782.44181615,245923.3223,6703850.6689
302,Kunta,Kunta / muu,Opastaulu,Tammireittien infotaulu,Kaarina,,"Kuusiston koulupolku, Empon koulu",,,,,225,83059,1340,Pallokenttä,Empon pallokenttä,3,80.7579413845645,245900.992813947,6703782.44181615,245931.3768,6703857.266
303,Kunta,Kunta / muu,Opastaulu,Tammireittien infotaulu,Kaarina,,"Kuusiston koulupolku, Kuusiston koulu",,,,,226,518045,1520,Luistelukenttä,Kuusiston koulun luistelukenttä,1,38.6560992701534,246664.091430602,6703161.07706398,246702.7202,6703162.5304
304,Kunta,Kunta / muu,Opastaulu,Tammireittien infotaulu,Kaarina,,"Kuusiston koulupolku, Kuusiston koulu",,,,,226,611431,1130,Ulkokuntoilupaikka,Kuusiston koulun ulkokuntoilulaitteet,2,41.9964744572126,246664.091430602,6703161.07706398,246702.8773,6703144.9724
305,Kunta,Kunta / muu,Opastaulu,Tammireittien infotaulu,Kaarina,,"Kuusiston koulupolku, Kuusiston koulu",,,,,226,518044,1340,Pallokenttä,Kuusiston koulun pallokenttä,3,49.4186821320703,246664.091430602,6703161.07706398,246713.1319,6703167.1794
306,Kunta,Kunta / muu,Opastaulu,Tammireittien infotaulu,Kaarina,,Tuorla,,,,,227,518012,2150,Liikuntasali,Ammattiopisto Livian liikuntasali,1,76.7698862840385,248954.453814778,6706452.92046019,248882.3225,6706426.6395
307,Kunta,Kunta / muu,Opastaulu,Tammireittien infotaulu,Kaarina,,Hovirinnan rantapuisto,,,,,228,518016,1310,Koripallokenttä,Hovirinnan rannan koripallokenttä,1,132.875630591152,245385.020166944,6704555.64569836,245350.213,6704427.41
308,Kunta,Kunta / muu,Opastaulu,Tammireittien infotaulu,Kaarina,,Hovirinnan rantapuisto,,,,,228,611976,3240,Talviuintipaikka,Hovirinnan talviuintipaikka,2,137.630978530564,245385.020166944,6704555.64569836,245415.9748,6704421.5409
309,Kunta,Kunta / muu,Opastaulu,Tammireittien infotaulu,Kaarina,,Hovirinnan rantapuisto,,,,,228,99224,3220,Uimaranta,Hovirinnan uimaranta,3,139.734996219912,245385.020166944,6704555.64569836,245405.4748,6704417.4159
310,Kunta,Kunta / muu,Opastaulu,Tammireittien infotaulu,Kaarina,,Kuusiston linnanrauniot ja kappelinmäen luontopolku,,,,,229,,,,,,,,,,
311,Kunta,,Opastaulu,,Sauvo,,Peimari-Areena,,,,,230,511821,2230,Jalkapallohalli,Peimari-Areena,1,69.0540522008065,262372.812769919,6698214.1452887,262317.716,6698255.7723
312,Kunta,,Opastaulu,,Sauvo,,Peimari-Areena,,,,,230,521301,2350,Tanssi-/ryhmäliikuntatila,Peimari-Areenan tanssitila,2,75.4391180832146,262372.812769919,6698214.1452887,262320.5,6698268.5
313,Kunta,,Opastaulu,,Sauvo,,Peimari-Areena,,,,,230,521300,2120,Kuntosali,Sauvon Sali,3,79.7582583866594,262372.812769919,6698214.1452887,262309.519,6698262.6765
314,Valtio,Muu,Opastaulu,,Kaarina,,Kuusiston linnanrauniot,,,,,231,,,,,,,,,,
315,Valtio,,Opastaulu,,Sauvo,,Sauvon keskusta,,,,,232,,,,,,,,,,
316,Muu,,Opastaulu,,Sauvo,,Rantola,,,,,233,99546,3220,Uimaranta,Rantolan uimaranta,1,143.95583352199,255722.813675277,6690793.61990087,255866.75,6690791.25
317,Kunta,,Opastaulu,,Sauvo,,,Sauvon tori,,,,234,606982,1120,Lähiliikuntapaikka,Palvelukeskuksen lähiliikuntapaikka,1,182.280515914573,262474.67146527,6697409.05006145,262651,6697455.25
318,Kunta,,Opastaulu,,Sauvo,,Marjaniemi,,,,,235,613773,1180,Frisbeegolfrata,Marjaniemi DiscGolfPark,1,22.9180900259101,271582.072180415,6691766.74991932,271560.3986,6691774.1994
319,Kunta,,Opastaulu,,Sauvo,,Marjaniemi,,,,,235,513267,3230,Uimapaikka,Marjaniemen uimaranta ja sauna,2,129.555629002557,271582.072180415,6691766.74991932,271656.4391,6691660.664
320,Muu,,Opastaulu,,Sauvo,,Sarapisto,,,,,236,511823,3230,Uimapaikka,Sarapiston uimapaikka,1,28.2031998696669,264568.845652808,6687052.43978234,264565,6687024.5
321,Kunta,,Opastaulu,,Sauvo,,Karunan Kallioranta,,,,,237,511822,3240,Talviuintipaikka,Kalliorannan talviuintipaikka,1,128.450110598383,255834.410518941,6690347.9705069,255706.75,6690333.75
322,Kunta,,Opastaulu,,Sauvo,,Karunan Kallioranta,,,,,237,85684,1340,Pallokenttä,Karunan jalkapallokenttä,2,171.623633398905,255834.410518941,6690347.9705069,255753.25,6690196.75
323,Muu,,Opastaulu,,Sauvo,,Hiirmetsän tonttupolku,,,,,238,,,,,,,,,,
324,Muu,,Opastaulu,,Sauvo,,Maalun pirunpellonpolku,,,,,239,616945,204,Luontotorni,Maalun näköalatorni,1,107.984252808127,256980.946704028,6688161.60187343,256985.0838,6688053.6969
325,Kunta,Kunta / muu,Opastaulu,Tammireittien infotaulu,Kaarina,,Littoistenjärven uimaranta,,,,,240,529980,1130,Ulkokuntoilupaikka,Littoisten uimarannan ulkokuntoilulaitteet,1,4.21145049717556,245908.48810925,6711453.03517543,245912.2347,6711451.1118
326,Kunta,Kunta / muu,Opastaulu,Tammireittien infotaulu,Kaarina,,Littoistenjärven uimaranta,,,,,240,99000,3220,Uimaranta,Littoisten uimaranta,2,62.5359237177851,245908.48810925,6711453.03517543,245851.1719,6711428.0233
327,Kunta,Kunta / muu,Opastaulu,Tammireittien infotaulu,Kaarina,,Piikkiön kehityksen pysäköintipaikka,,,,,241,518022,1370,Tenniskenttä,Kehityksen kerhotalon tenniskenttä,1,105.644465586177,254614.666652782,6707051.27932684,254591.7499,6706948.1504
328,Kunta,Kunta / muu,Opastaulu,Tammireittien infotaulu,Kaarina,,Piikkiön kehityksen pysäköintipaikka,,,,,241,518024,1320,Lentopallokenttä,Kehityksen kerhotalon lentopallokenttä,2,130.732751773054,254614.666652782,6707051.27932684,254587.4999,6706923.4004
329,Kunta,Kunta / muu,Opastaulu,Tammireittien infotaulu,Kaarina,,Piikkiön kehityksen pysäköintipaikka,,,,,241,518023,1210,Yleisurheilun harjoitusalue,Kehityksen kerhotalon yleisurheilualue,3,131.430085951681,254614.666652782,6707051.27932684,254610.9999,6706919.9004
330,Kunta,Kunta / muu,Opastaulu,Tammireittien infotaulu,Kaarina,,Piikkiön linnavuoren reitistö,,,,,242,,,,,,,,,,
331,Muu,Muu,Kahvila,"Ravintola, puoti",Kaarina,,Tuorlan majatalo,,,https://tuorlanmajatalo.fi/,,243,518012,2150,Liikuntasali,Ammattiopisto Livian liikuntasali,1,106.186654151548,248986.699218186,6706446.16144203,248882.3225,6706426.6395
332,Kunta,,Nahtavyys,"Museo, puot",Sauvo,,Sauvon kotiseutumuseo,,,,,244,616612,2120,Kuntosali,Sauvon kunnan omatoimikuntosali,1,137.738903700538,261944.763902309,6697840.25447332,262027.5287,6697950.3544
333,Muu,,Kahvila,,Sauvo,,Kesäkahvila,,,,,245,616612,2120,Kuntosali,Sauvon kunnan omatoimikuntosali,1,145.117138823966,261944.233257114,6697831.52320386,262027.5287,6697950.3544
334,Muu,,Nahtavyys,,Sauvo,,Karunan kirkko,,,,,246,,,,,,,,,,
335,Muu,,Tilamyynti,,Sauvo,,Hännilän tila,,"suoramyynti, majoituspalvelu, hevostila",http://www.hannilantila.fi/,,247,610235,6110,Ratsastuskenttä,Hännilän Tilan ratsastuskenttä,1,140.073716991171,254599.391143923,6692053.97519713,254691.0389,6692159.906
336,Muu,,Kahvila,"Kauppa, ravintola, majoitus",Sauvo,,Rantolan puoti,,"kauppa, ravintola, majoitus",,,248,99546,3220,Uimaranta,Rantolan uimaranta,1,169.503678856957,255697.975725368,6690806.95800333,255866.75,6690791.25
337,Kunta,,Uimaranta,,Sauvo,,Rantolan uimaranta,,,,,249,99546,3220,Uimaranta,Rantolan uimaranta,1,9.11848706178013,255874.22638979,6690796.47019176,255866.75,6690791.25
338,Muu,,Majoitus,"Ravintola, majoitus, ohjelmat",Kaarina,,Villa Volax,,,https://www.villawolax.fi/,,250,612307,3240,Talviuintipaikka,Villa Wolaxin talviuintipaikka,1,109.614374669641,242201.467829342,6701755.66968188,242232.8308,6701650.6379
339,Muu,,Majoitus,"Majoitus, saunat, kokous, juhlat, pitopalvelut",Kaarina,,Kavalton tila,,,https://www.kavaltontila.com/,,251,,,,,,,,,,
340,Muu,,Kahvila,Tapahtuma- ja tilausravintola,Sauvo,,Kalle's Backa 55,,,http://www.tappers.fi/index.php/kalles-backa-55,,252,,,,,,,,,,
341,Muu,,Tilamyynti,Hereford lihapuoti,Sauvo,,Salmensuun tila,,suoramyynti: herefordin liha,https://www.salmensuu.com/,,253,,,,,,,,,,
342,Muu,,Tilamyynti,"Luomutila, tilapuoti",Sauvo,,Wanha liesniemi,,suoramyynti: luomuvihannekset ja -marjat,,,254,,,,,,,,,,
343,Valtio,Muu,Nahtavyys,,Kaarina,,Kuusiston taidekartano,,,https://kuusistontaidekartano.fi/kotisivu/fi/,,255,,,,,,,,,,
344,Muu,,Tilamyynti,Paikallisia käsitöitä,Sauvo,,Puuhaus,,,,,256,,,,,,,,,,
345,Muu,,Nahtavyys,,Paimio,,"Finnfoam paippi, hiihtoputki",,,http://www.paippi.com/,,257,98159,4220,Hiihtotunneli,Hiihtotunneli Paippi,1,8.16766979106619,264290.939566806,6706426.27568367,264299.1058,6706426.1225
346,Valtio,Muu,Pysakointi_liikeste,Pysäköinti vain liikuntaesteisille,Kaarina,,Kuusiston linnanrauniot,,,,,258,,,,,,,,,,
347,Kunta,Kunta / muu,Pysakointialue,,Kaarina,,Piikkiön linnavuoren reitistö,,,,,259,,,,,,,,,,
348,Muu,Muu,Pysakointialue,,Kaarina,,Piikkiön kehityksen pysäköintialue,,,,,260,518022,1370,Tenniskenttä,Kehityksen kerhotalon tenniskenttä,1,123.001568907342,254619.043969072,6707068.08546471,254591.7499,6706948.1504
349,Muu,Muu,Pysakointialue,,Kaarina,,Piikkiön kehityksen pysäköintialue,,,,,260,518024,1320,Lentopallokenttä,Kehityksen kerhotalon lentopallokenttä,2,148.083747399771,254619.043969072,6707068.08546471,254587.4999,6706923.4004
350,Muu,Muu,Pysakointialue,,Kaarina,,Piikkiön kehityksen pysäköintialue,,,,,260,518023,1210,Yleisurheilun harjoitusalue,Kehityksen kerhotalon yleisurheilualue,3,148.403235984073,254619.043969072,6707068.08546471,254610.9999,6706919.9004
351,Valtio,Muu,Pysakointialue,,Kaarina,,Kuusiston linnanrauniot ja Kappelinmäen luontopolku,,,,,261,,,,,,,,,,
352,Kunta,Kunta / muu,Pysakointialue,,Kaarina,,Nunnan pysäköintialue,,,,,262,529979,1180,Frisbeegolfrata,Nunnan frisbeegolfrata,1,18.5851374241878,248985.057552946,6709936.89063906,249003.1898,6709940.9685
353,Muu,,Pysakointialue,,Sauvo,,Hiirmetsän tonttupolku,,,,,263,,,,,,,,,,
354,Kunta,,Pysakointialue,,Sauvo,,Maalun pysäköintialue,,,,,264,616945,204,Luontotorni,Maalun näköalatorni,1,117.55509892421,256985.117290512,6688171.25199415,256985.0838,6688053.6969
355,Muu,,Pysakointialue,,Sauvo,,Sauvon kirkon pysäköintialue,,,,,265,606982,1120,Lähiliikuntapaikka,Palvelukeskuksen lähiliikuntapaikka,1,142.504003133076,262633.717698039,6697313.79784219,262651,6697455.25
356,Muu,,Pysakointialue,,Sauvo,,Sauvon kirkon pysäköintialue,,,,,266,,,,,,,,,,
357,Kunta,,Pysakointialue,,Paimio,,Vähäjokipolun pysäköintialue,,,,,267,,,,,,,,,,
358,Kunta,,Pysakointialue,Paimion polun lähtöpisteen läheisyydessä,Paimio,,Paimion urheilupuisto,,,,,268,507556,2120,Kuntosali,Kymppi-Sali,1,69.0327251407493,263415.069944795,6709030.48812757,263373.5,6708975.375
359,Kunta,,Pysakointialue,Paimion polun lähtöpisteen läheisyydessä,Paimio,,Paimion urheilupuisto,,,,,268,602771,1130,Ulkokuntoilupaikka,Urheilupuiston ulkokuntoilupaikka,2,72.1798112755484,263415.069944795,6709030.48812757,263343.5,6709021.125
360,Kunta,,Pysakointialue,Paimion polun lähtöpisteen läheisyydessä,Paimio,,Paimion urheilupuisto,,,,,268,89888,2520,Kilpajäähalli,Paimion jäähalli,3,80.3095567254673,263415.069944795,6709030.48812757,263381.8583,6708957.3676
361,Kunta,Kunta / muu,Pysakointialue,,Kaarina,,Rauvola,,,,,269,,,,,,,,,,
362,Kunta,Kunta / muu,Pysakointialue,,Kaarina,,Kasarminmäki länsi,,,,,270,,,,,,,,,,
363,Kunta,Kunta / muu,Pysakointialue,,Kaarina,,Kasarminmäki itä,,,,,271,,,,,,,,,,
364,Kunta,Kunta / muu,Pysakointialue,,Kaarina,,Piispanlähteen yläkoulu,,,,,272,518043,1520,Luistelukenttä,Piispanlähteen yläkoulun luistelukenttä,1,72.4060617659069,242371.273492377,6705831.986938,242439.7948,6705808.5889
365,Kunta,Kunta / muu,Pysakointialue,,Kaarina,,Piispanlähteen yläkoulu,,,,,272,101159,1330,Beachvolley-/rantalentopallokenttä,Piispanlähteen yläkoulun beachvolleykenttä,2,74.7918446675162,242371.273492377,6705831.986938,242440.7849,6705859.591
366,Kunta,Kunta / muu,Pysakointialue,,Kaarina,,Piispanlähteen yläkoulu,,,,,272,84136,1340,Pallokenttä,Piispanlähteen yläkoulun pallokenttä,3,75.0749592652928,242371.273492377,6705831.986938,242442.5447,6705808.3932
367,Kunta,,Polttopuuvarasto,,Kaarina,,Polttopuuvarasto,,,,,273,606722,204,Luontotorni,Vaarniemen näkötorni,1,156.946875057161,240448.36880765,6705314.87507251,240510.5,6705170.75
368,Kunta,,Tulipaikka,,Kaarina,,Laavu,,,,,274,606722,204,Luontotorni,Vaarniemen näkötorni,1,73.9458776796605,240545.976592762,6705105.87007867,240510.5,6705170.75
369,Kunta,,Taukopaikka,,Kaarina,,Taukopaikka,,,,,275,,,,,,,,,,
370,Kunta,Kunta / muu,Luontotorni,Lintutorni,Kaarina,,Rauvolan lintutorni,,,,,276,606720,204,Luontotorni,Rauvolanlahden lintutorni,1,7.79134747265756,240386.126328549,6705896.65160209,240379.5,6705900.75
371,Kunta,Kunta / muu,Taukopaikka,,Kaarina,,Taukopaikka,,,,,277,,,,,,,,,,
372,Kunta,Kunta / muu,Tulipaikka,,Kaarina,,,,,,,278,,,,,,,,,,
373,Kunta,Kunta / muu,Polttopuuvarasto,,Kaarina,,Polttopuuvarasto,,,,,279,,,,,,,,,,
374,Kunta,,Kuivakaymala,,Kaarina,,,,,,,280,606722,204,Luontotorni,Vaarniemen näkötorni,1,61.8091603788164,240549.882267688,6705123.11168246,240510.5,6705170.75
375,Muu,,Tilamyynti,,Paimio,,Alanteen tilamyynti,,,https://alanteentila.fi/,,281,,,,,,,,,,
376,Muu,,Tilamyynti,suoramyynti: vihannekset,Sauvo,,Kamparsin luomutila,,suoramyynti: vihannekset,,,282,,,,,,,,,,
377,Kunta,,Uimaranta,,Sauvo,,Marjaniemi,,,,,283,513267,3230,Uimapaikka,Marjaniemen uimaranta ja sauna,1,3.16314232446198,271654.462123955,6691663.1332175,271656.4391,6691660.664
378,Kunta,,Uimaranta,,Sauvo,,Marjaniemi,,,,,283,613773,1180,Frisbeegolfrata,Marjaniemi DiscGolfPark,2,145.546018266219,271654.462123955,6691663.1332175,271560.3986,6691774.1994
379,Muu,,Uimaranta,,Sauvo,,Sarapisto,,,,,284,511823,3230,Uimapaikka,Sarapiston uimapaikka,1,25.9436852980853,264559.532370925,6686999.1390095,264565,6687024.5
380,Muu,,Tilamyynti,suoramyynti: vihanneksia ja marjoja,Sauvo,,Alholan tilapuoti,,suoramyynti: vihanneksia ja marjoja,,,285,,,,,,,,,,
381,Muu,,Tilamyynti,,Sauvo,,Kankaanrannan puutarha,,"kukkakauppa, marjoja, vihanneksi",,,286,,,,,,,,,,
382,Muu,,Tilamyynti,suoramyynti,Sauvo,,Niemelän tila,,suoramyynti: marjoja ja kasviksia,,,287,,,,,,,,,,
383,Muu,,Tilamyynti,suoramyynti: kukat ja taimet,Sauvo,,Salmin puutarha,,suoramyynti: kukat ja taimet,,,288,,,,,,,,,,
384,Muu,,Tilamyynti,"sauvolaisia vihanneksi ja marjoja, savulohta",Sauvo,,Sauvon RajaPuoti,,"sauvolaisia vihanneksi ja marjoja, savulohta",,,289,,,,,,,,,,
385,Muu,,Tilamyynti,mansikan suoramyynti,Sauvo,,Uotkullan tila,,mansikan suoramyynti,,,290,,,,,,,,,,
386,Muu,,Tilamyynti,suoramyynti: puutarhakasvikset,Sauvo,,Peuravaaran puutarha,,suoramyynti,,,291,,,,,,,,,,
387,Kunta,,Portaat,Maastoportaat,Kaarina,,Portaat,,,,,292,606722,204,Luontotorni,Vaarniemen näkötorni,1,140.116438404343,240461.752354507,6705302.11317357,240510.5,6705170.75
388,Kunta,Kunta / muu,Laavu,,Kaarina,,,,,,,293,606722,204,Luontotorni,Vaarniemen näkötorni,1,70.3123190709532,240536.531745064,6705105.43407191,240510.5,6705170.75
389,Kunta,Kunta / muu,Opastaulu,Luontotaulu,Kaarina,,,,,,,294,,,,,,,,,,
390,Kunta,Kunta / muu,Vesillelasku,,Kaarina,,,Kuuslahden uimapaikka,,,,295,100089,3230,Uimapaikka,Kuuslahden uimaranta,1,4.63504690346893,243107.067512028,6703576.79286315,243111.6752,6703576.29
391,Kunta,Kunta / muu,Pysakointialue,,Kaarina,,Kuuslahden uimapaikka,,,,,296,100089,3230,Uimapaikka,Kuuslahden uimaranta,1,105.465292473028,243081.335891583,6703475.28280084,243111.6752,6703576.29
392,Kunta,Kunta / muu,Uimaranta,,Kaarina,,Kuuslahden uimapaikka,,,,,297,100089,3230,Uimapaikka,Kuuslahden uimaranta,1,11.8999977544024,243105.415022639,6703566.1697171,243111.6752,6703576.29
393,Kunta,Kunta / muu,Uimaranta,,Kaarina,,Harvaluodon uimaranta,,,,,298,611433,1130,Ulkokuntoilupaikka,Harvaluodon rannan ulkokuntoilulaite,1,12.1889187352873,252820.636195938,6701112.93118784,252809.056,6701109.1274
394,Kunta,Kunta / muu,Uimaranta,,Kaarina,,Harvaluodon uimaranta,,,,,298,98730,3220,Uimaranta,Harvaluodon uimaranta,2,19.0614822689645,252820.636195938,6701112.93118784,252817.3075,6701094.1626
395,Kunta,Kunta / muu,Uimaranta,,Kaarina,,Harvaluodon uimaranta,,,,,298,612639,1180,Frisbeegolfrata,Harvaluodon frisbeegolfrata,3,115.765275613343,252820.636195938,6701112.93118784,252705.8815,6701097.6682
396,Kunta,Kunta / muu,Tulipaikka,Grillikatos,Kaarina,,Harvaluodon virkistysalue,,,,,299,612639,1180,Frisbeegolfrata,Harvaluodon frisbeegolfrata,1,48.6837962991439,252752.411991268,6701111.9869082,252705.8815,6701097.6682
397,Kunta,Kunta / muu,Tulipaikka,Grillikatos,Kaarina,,Harvaluodon virkistysalue,,,,,299,611433,1130,Ulkokuntoilupaikka,Harvaluodon rannan ulkokuntoilulaite,2,56.7161397877181,252752.411991268,6701111.9869082,252809.056,6701109.1274
398,Kunta,Kunta / muu,Tulipaikka,Grillikatos,Kaarina,,Harvaluodon virkistysalue,,,,,299,98730,3220,Uimaranta,Harvaluodon uimaranta,3,67.2988336927437,252752.411991268,6701111.9869082,252817.3075,6701094.1626
399,Valtio,Muu,Nahtavyys,,Kaarina,,Kuusiston Piispanlinnan vierailukeskus,,,http://ohjelmapalvelucastrum.net/,,300,,,,,,,,,,
400,Valtio,Muu,Kuivakaymala,"Esteetön sähköwc, avoinna kesäkaudella",Kaarina,,,,,https://www.luontoon.fi/kuusisto,,301,,,,,,,,,,
401,Kunta,Kunta / liikuntatoimi,Aktiviteetti,Frisbeegolfrata,Kaarina,,,,,,,302,612639,1180,Frisbeegolfrata,Harvaluodon frisbeegolfrata,1,33.3913347918027,252683.858453973,6701072.56906291,252705.8815,6701097.6682
402,Kunta,Kunta / liikuntatoimi,Aktiviteetti,Frisbeegolfrata,Kaarina,,,,,,,302,611433,1130,Ulkokuntoilupaikka,Harvaluodon rannan ulkokuntoilulaite,2,130.42598491979,252683.858453973,6701072.56906291,252809.056,6701109.1274
403,Kunta,Kunta / liikuntatoimi,Aktiviteetti,Frisbeegolfrata,Kaarina,,,,,,,302,98730,3220,Uimaranta,Harvaluodon uimaranta,3,135.184794743475,252683.858453973,6701072.56906291,252817.3075,6701094.1626
404,Kunta,Kunta / muu,Vesillelasku,,Kaarina,,,Raadelman uimaranta,,,,303,513706,3230,Uimapaikka,Raadelman uimapaikka,1,6.75624765762392,250144.608872904,6705958.29528332,250146.1556,6705964.8721
405,Kunta,Kunta / muu,Rantautuminen,,Kaarina,,Hovirinnan uimaranta,,,,,304,611976,3240,Talviuintipaikka,Hovirinnan talviuintipaikka,1,86.2327293455599,245502.20369988,6704420.7282279,245415.9748,6704421.5409
